term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
term1         2         0         
term2         3         5         
